composer_id,composer_name,popularity
1427702,Atsushi Umebori,1.509
2073494,Jun Nishimura,2.19
35073,Bruno Coulais,10.055
23806,Jessica de Rooij,1.337
1361675,Kevin Penkin,7.07
96694,Sergio Moure de Oteyza,1.484
1279800,Reimy,4.249
1815287,Masahiro Tokuda,2.626
2205756,Michael 'Truth' Ogunlade,0.244
1608523,Hideyuki Tanaka,8.408
2092919,Yuuzou Hayashi,0.805
3346050,Kazuo Kumada,0.029
3002664,TV Tokyo Music,0.028
2110472,Casey Bennetto,1.116
3499800,Shuhei Mutsuki,1.716
1582253,Megumi Sasano,2.92
223574,Ruth Barrett,6.783
2396322,yamazo,4.368
930989,Will Bates,6.64
